company,revenues_rank,profit_rank,networth_rank,assets_rank,fsi_rank
Ramky Infrastructure,431,967,403,203,939
Nandan Denim,560,429,677,618,524
Patel Integrated Log,789,710,861,968,443
Rana Sugars,755,871,810,532,933
Natco Pharma,649,247,356,478,419
Patspin India,814,796,939,882,799
Rane Madras,674,651,805,812,397
National Aluminium,111,52,43,84,191
PCJeweller,513,127,188,293,458
Rane Brake Linings,931,626,829,955,230
National Buildings Cons Cop,169,160,255,446,96
PDS Multinational Fashions,205,584,552,549,430
Rane Engine Valves,899,574,834,886,618
National Fertilisers,107,556,228,87,833
Pearl Global Industries,568,564,643,704,518
RCF,118,133,138,193,322
National Steel,204,537,640,655,391
Peninsula Land,529,799,253,230,924
Rasoya Proteins,761,866,493,552,922
Nava BharatVentures,361,195,140,210,387
PennarEng Build Sys,896,580,828,956,456
Rathi Steel & Power,724,888,955,700,973
Navin Fluorine,766,414,445,636,466
PennarInd,477,506,603,677,428
Ratnamni Metals,395,218,329,537,73
NavneetEducation,570,253,458,627,168
PersistentSystems,357,157,243,435,80
RTN POWER,732,973,84,68,953
NCC,92,418,127,144,459
Petron Engineering,924,766,792,833,683
Raymond,149,279,232,231,345
NCLInd,710,679,795,802,510
PetronetLNG,26,70,76,109,76
Redington India,373,122,168,216,560
NectarLifesciences,411,383,318,362,584
Pfizer,355,301,189,352,267
Relaxo Footwears,440,295,580,672,134
Nelcast,805,581,664,798,338
Phillips Carbon,305,661,475,386,776
Reliance Comm,39,81,14,16,614
Neo Corp International,655,538,660,706,754
PhoenixLamps,996,598,832,953,386
Reliance Ind,2,1,1,1,238
Nestle India,89,56,136,217,19
PhoenixMills,403,509,300,181,795
Reliance Infrastructure,45,39,25,27,569
Neuland Labs,862,627,786,822,708
Pidilite Ind,165,100,161,317,20
Reliance Power,128,64,34,25,781
NDTV,793,861,956,887,845
PipavavDefence & Offshore,596,955,191,113,889
Renaissance Jewellery,494,486,548,639,302
Neyveli Lignite,124,43,41,61,296
Piramal Enterprises,108,27,46,66,554
Repro India,944,604,746,773,602
NHPC,94,30,23,30,526
Piramal Glass,383,795,662,389,829
Responsive Inds,342,441,404,443,295
NIIT,587,910,396,558,363
Plastiblends,869,539,790,937,170
Rico Auto,393,231,508,656,432
NIIT Technologies,314,277,254,440,61
PNCInfratech,366,315,344,279,626
Ricoh India,419,517,780,560,629
Nile,961,687,883,986,262
Polaris Consulting & Serv,365,222,352,570,59
RohitFerro,352,950,711,302,963
Nilkamal,374,434,469,598,139
Poly Medicure,928,397,749,885,270
Rollatainers,797,549,900,919,439
Nitco,645,904,953,462,969
PolyplexCorp,231,495,233,224,467
Rolta,213,177,273,131,801
Nitin Fire Protection Inds,527,380,519,541,619
Pondy Oxides & Chem,980,704,919,989,434
RSWM,249,326,523,384,478
Nitin Spinners,764,480,782,699,769
PowerGrid Corp,49,14,13,7,605
Ruchi Soya,239,341,169,152,863
NMDC,61,12,20,46,74
PowerMech Projects,469,363,587,630,449
Ruchi StrAl,633,746,905,975,585
North Eastern Carrying Corp,825,713,884,971,633
Praj Ind,582,350,428,652,123
S H Kelkar& Co,641,390,474,602,388
Novartis,590,342,310,505,394
Prakash Ind,259,672,174,263,396
SadbhavEngineering,219,920,251,99,831
NRB Bearings,735,420,686,680,509
Prakash Steelage,516,638,747,756,485
SadbhavInfra Proj,833,946,391,108,926
NTPC,13,7,3,3,429
Pratibha Ind,187,461,402,269,744
SagarCements,602,154,467,592,506
Nucleus Software,967,389,517,757,281
Precision Wires,625,666,759,918,193
Sahyadri Ind,884,698,837,868,676
Oberoi Realty,610,146,89,176,650
PrecotMeridian,704,842,822,713,721
Sakthi Sugars,657,847,930,404,982
OCLIndia,322,275,276,284,383
Prestige Estates Proj,156,137,114,122,750
SandurManganese,976,562,609,799,332
OCLIron & Steel,569,891,503,313,853
Pricol,528,849,666,770,381
Sangam India,452,428,574,525,486
ONGC,6,3,2,2,177
Prime Focus,423,944,319,301,719
Sanghi Ind,599,535,328,419,475
Oil India,80,29,32,48,304
Prism Cement,144,743,311,242,538
Sanofi India,331,166,226,415,56
OmaxAutos,555,770,743,709,521
Procter& Gamble,312,132,279,470,25
Sarda Energy,364,412,287,285,826
Omaxe,306,399,190,229,491
Provogue,678,886,478,530,821
Sasken Comm Techno,712,267,509,746,138
OnMobile Glob,634,841,415,621,290
PTCIndia,507,168,146,120,934
Sathavahana Ispat,600,559,741,539,802
Oracle Financial,184,55,112,234,69
PTLEnterprises,933,519,864,840,588
Satia Industries,950,693,858,816,828
Orchid Pharma,459,907,611,235,962
Punj Lloyd,117,983,305,121,893
Saurashtra Cement,781,377,707,892,309
Oricon Enterprises,536,467,563,497,472
Punjab Chemicals,790,642,950,850,784
Savita Oil Techno,381,779,449,661,94
OrientBell,736,721,831,831,551
Puravankara Project,385,250,162,221,634
SBECSugar,989,830,962,999,733
OrientCement,426,203,315,335,423
PVR,453,648,576,479,564
Scan Steels,867,742,756,754,767
OrientGreen PowerCo,855,936,361,265,915
QuadrantTeleventures,830,940,994,1000,692
SchneiderElectric,470,832,865,760,497
